"country","year","participare_social_media","daily_internet_use","venit_mediu_gospodarie","gini","educatie_superioara","abilitati_digitale","nivel_acces_internet","nefolosire_internet"
"AT",2017,51.19,73.67,36669.4438963457,0.275117695331573,32.4,67.45,88.79,9.63
"AT",2019,55.55,79.9,40254.3300436821,0.273526847362518,33.8,65.55,89.91,9.94
"AT",2021,57.11,81.17,44972.1502620666,0.280845314264297,34.6,63.33,95,5.92
"BE",2019,75.53,84.58,37712.4681194246,0.261804133653641,40.7,60.83,89.73,6.94
"BE",2021,62.78,86.2,41273.7549885514,0.255583524703979,44.9,54.23,91.97,4.55
"BG",2017,49.95,54.04,13813.020209863,0.395290732383728,27.8,29.49,67.33,30.29
"BG",2019,52.85,59.77,17651.1498666901,0.401846259832382,27.9,29.4,75.07,24.49
"BG",2021,60.05,67.42,20080.0961154459,0.38321715593338,29.7,31.18,83.53,17.02
"CH",2017,52.72,82.04,43874.2248803106,0.299084486,42.6,75.5,93.06,4.35
"CH",2019,53.26,89.02,47101.1150297849,0.315866403,44.4,76.8,95.51,2.55
"CH",2021,67.1,91.35,50422.4417680691,0.313459316,44.9,77.79,98.67,1.42
"CZ",2017,48.35,68.27,21547.2237096439,0.248991295695305,23.9,59.85,83.24,11.13
"CZ",2019,58.95,76.1,25067.9528390547,0.248264744877815,24.2,62.1,87,9.28
"CZ",2021,61.5,80.54,26333.7567529608,0.254882216453552,26.4,59.69,89.31,7.25
"DE",2017,50.59,79.48,33311.727622546,0.28916,28.6,68.18,92.86,7.37
"DE",2019,52.5,85.11,38077.374679464,0.2959,29.9,70.16,94.83,4.65
"DE",2021,46.6,81.77,43414.0961217599,0.312539994716644,32.2,48.92,91.88,6.19
"DK",2017,75.5,91.36,34004.9567251892,0.264,38.9,71.19,97,2.03
"DK",2019,80.76,92.09,37766.2984800248,0.2678,40.4,69.98,95.43,1.86
"DK",2021,85.42,94.68,43029.4130857395,0.272899985313416,41.9,68.65,96.14,0.69
"EE",2017,60.31,79.39,21597.6686587772,0.308786928653717,38.4,60.31,88.27,9.33
"EE",2019,65.14,83.2,25436.5289340892,0.30454021692276,39.5,61.58,90.43,7.25
"EE",2021,67.33,84.94,29668.5607572122,0.321410775184631,41.2,56.37,91.82,6.52
"EL",2017,49.97,59.43,15625.7038629348,0.319101899862289,31,46.16,70.96,28.33
"EL",2019,56.69,64.5,18344.7230669141,0.311549156904221,31.9,50.52,78.54,22.15
"EL",2021,62.05,70.16,20294.1722192188,0.312308102846146,34.6,52.48,85.07,19.86
"ES",2017,57.17,68.98,26662.3049379281,0.332512468099594,36.4,54.77,83.39,14.01
"ES",2019,58.61,77.61,29794.7099680624,0.320337176322937,38.6,57.2,91.44,8.37
"ES",2021,64.66,85.83,32914.2066938122,0.319556951522827,40.4,64.16,95.92,4.86
"FI",2017,66.01,87.19,31558.7754505818,0.26634,43.7,75.55,94.42,5.06
"FI",2019,66.68,89.82,34474.2544555738,0.27289,46,76.47,94.36,3.22
"FI",2021,75.11,92.54,36643.8870771494,0.27344,42.3,79.18,96.56,2.01
"FR",2021,44.83,77.69,36531.5019984135,0.298,40.7,61.96,93.33,4.85
"HR",2017,47.25,57.51,16993.3436259367,0.297252625226974,23.7,40.92,76.45,28.38
"HR",2019,57.88,71.39,20090.987056488,0.284315228462219,25.2,53.35,80.52,18.31
"HR",2021,60.89,76.34,23516.6014789919,0.287673950195313,25.6,63.37,86.09,14.91
"HU",2017,64.57,68.68,13852.9559458969,0.2890664935112,24.1,49.59,82.35,17.04
"IE",2017,58.86,70.18,32545.4860437953,0.294805109500885,46.5,47.64,88.37,15.85
"IE",2019,63.58,82.51,35823.5739491991,0.283126682043076,47.3,53.38,90.59,8.65
"IE",2021,69.06,94.65,40470.1550595223,0.284376472234726,52.9,70.49,97.5,0.07
"IS",2017,89.46,95.78,37952.1339833727,0.249608919024467,42.5,85.4,97.86,1.15
"IS",2019,91.65,96.97,38731.269566298,0.246794939041138,45.2,85.37,97.7,0.43
"IT",2019,42.3,72.79,31598.1472650636,0.32523450255394,19.7,41.51,85.17,16.83
"IT",2021,50.19,78.93,34064.6739437377,0.32968682050705,20,45.6,90.49,11.25
"LT",2017,53.55,63.8,18873.3619742318,0.37365984916687,40.3,54.78,74.97,19.29
"LT",2019,60.57,72.6,23995.2398624011,0.35703256726265,43.1,56.15,81.52,15.11
"LT",2021,65.19,77.88,27861.2245324784,0.36640477180481,45.4,48.84,86.55,10.71
"LU",2017,68.08,90.93,46538.0250714456,0.305815845727921,39.9,85.18,97.23,2.17
"LU",2019,62.51,87.06,51971.3258611804,0.304676324129105,47,64.58,95.2,2.88
"LU",2021,61.95,93.63,57697.4911134483,0.28387776017189,50.5,63.79,99.18,1.17
"LV",2017,59.9,69.82,17624.887253239,0.354813396930695,33.9,48.07,78.61,15.83
"LV",2019,64.66,75.49,21230.122417849,0.343648582696915,35.7,42.96,85.45,11.59
"LV",2021,69.76,83.55,25989.4674374059,0.343406021595001,39,50.8,91.15,6.22
"NL",2017,66.56,89.72,35076.4721373396,0.298,37.2,79.49,98.23,2.96
"NL",2019,66.91,91.86,39599.304182835,0.312,40.4,79.37,98.41,2.43
"NL",2021,73.3,91.49,43494.4547034138,0.295,43.1,78.94,98.56,3.49
"NO",2017,82.58,91.6,41352.240600465,0.26154,43.2,77.02,96.65,1.11
"NO",2019,86.31,94.81,45332.5997973725,0.26127,44,82.55,98.38,0.82
"NO",2021,88.28,95.36,50660.9330790156,0.28508,47,78.71,98.93,0.26
"PL",2017,48.02,61.13,19371.8164487168,0.274673581123352,29.9,46.38,81.88,19.62
"PL",2019,53.04,68.18,24174.5659847579,0.268066674470901,32.4,44.45,86.75,15.48
"PL",2021,56.78,73.67,27771.1570762912,0.260932803153992,33.7,42.93,92.42,11.14
"PT",2017,56.13,62.62,18704.4709152936,0.319619029760361,24.1,50.26,76.94,22.34
"PT",2019,60.4,65.42,22893.9517690051,0.309856653213501,26.4,51.76,80.94,21.97
"PT",2021,65.46,74.56,24321.6656399142,0.312692284584045,28.8,55.31,87.34,15.61
