"country","year","participare_social_media","daily_internet_use","venit_mediu_gospodarie","gini","educatie_superioara","abilitati_digitale","nivel_acces_internet","nefolosire_internet"
"AL",2018,48.33,53.46,NA,NA,NA,NA,83.64,32.7
"AL",2019,52.13,59.68,NA,NA,NA,21.48,85.45,26.63
"AL",2020,54.8,63.69,NA,NA,NA,NA,87.15,21.22
"AL",2021,60.77,72.78,NA,NA,NA,23.8,90.87,16.27
"AL",2022,64.07,81.51,NA,NA,NA,NA,98.44,12.15
"AT",2017,51.19,73.67,36669.4438963457,0.275117695331573,32.4,67.45,88.79,9.63
"AT",2018,53.17,75.63,38079.944116222,0.279900133609772,32.7,NA,88.78,9.9
"AT",2019,55.55,79.9,40254.3300436821,0.273526847362518,33.8,65.55,89.91,9.94
"AT",2020,59.54,81.38,42095.4348499692,0.271730124950409,34.2,NA,90.4,7.99
"AT",2021,57.11,81.17,44972.1502620666,0.280845314264297,34.6,63.33,95,5.92
"AT",2022,61.47,81.89,53772.8178954084,0.285380840301514,35.6,NA,93.15,4.84
"AU",2018,NA,NA,39228.2994407626,0.325,NA,NA,NA,NA
"AU",2020,NA,NA,42032.6498310786,0.319,NA,NA,NA,NA
"BA",2018,46.09,61.2,NA,NA,NA,NA,69.19,24.22
"BA",2019,45.84,64.98,NA,NA,NA,24.15,72.03,26.18
"BA",2020,50.04,67.44,NA,NA,NA,NA,72.84,23.1
"BA",2021,49.65,71.42,NA,NA,16,34.65,75.49,20.31
"BA",2022,NA,NA,NA,NA,16.4,NA,NA,NA
"BE",2017,72.02,76.2,NA,NA,40.3,60.56,85.97,9.84
"BE",2018,72.6,82.17,34811.8635477942,0.258198112249374,40.6,NA,87.27,8.62
"BE",2019,75.53,84.58,37712.4681194246,0.261804133653641,40.7,60.83,89.73,6.94
"BE",2020,78.9,84.48,38755.0435069296,0.248055785894394,42.4,NA,90.86,5.86
"BE",2021,62.78,86.2,41273.7549885514,0.255583524703979,44.9,54.23,91.97,4.55
"BE",2022,67.84,88.65,44792.1748886292,0.250419586896896,45.8,NA,94.44,3.7
"BG",2017,49.95,54.04,13813.020209863,0.395290732383728,27.8,29.49,67.33,30.29
"BG",2018,51.36,55.31,16490.0571577888,0.407952398061752,28.2,NA,72.13,26.68
"BG",2019,52.85,59.77,17651.1498666901,0.401846259832382,27.9,29.4,75.07,24.49
"BG",2020,54.74,61.76,19614.2331714561,0.395873188972473,29.2,NA,78.85,20.89
"BG",2021,60.05,67.42,20080.0961154459,0.38321715593338,29.7,31.18,83.53,17.02
"BG",2022,63.42,74.87,23899.4756079763,0.373836308717728,29.9,NA,87.31,12.76
"BR",2017,NA,NA,10247.6303080732,0.47471741,NA,NA,NA,NA
"BR",2018,NA,NA,10675.9073015435,0.473973287,NA,NA,NA,NA
"BR",2019,NA,NA,11230.5985752745,0.475687831,NA,NA,NA,NA
"BR",2020,NA,NA,11608.7403951798,0.448271122,NA,NA,NA,NA
"BR",2021,NA,NA,11090.8706106829,0.469417416,NA,NA,NA,NA
"BR",2022,NA,NA,12597.6735473726,0.45117845,NA,NA,NA,NA
"CA",2017,NA,NA,39148.0356797199,0.31,NA,NA,NA,NA
"CA",2018,NA,NA,40567.3857618086,0.304,NA,NA,NA,NA
"CA",2019,NA,NA,40869.6283813489,0.3,NA,NA,NA,NA
"CA",2020,NA,NA,44340.954280762,0.28,NA,NA,NA,NA
"CA",2021,NA,NA,47227.9066702408,0.292,NA,NA,NA,NA
"CA",2022,NA,NA,49946.4357078731,0.3,NA,NA,NA,NA
"CH",2017,52.72,82.04,43874.2248803106,0.299084486,42.6,75.5,93.06,4.35
"CH",2018,NA,NA,44471.2740215816,0.310825606,43.7,NA,NA,NA
"CH",2019,53.26,89.02,47101.1150297849,0.315866403,44.4,76.8,95.51,2.55
"CH",2020,NA,NA,48198.4778752387,0.319827662,45.3,NA,NA,NA
"CH",2021,67.1,91.35,50422.4417680691,0.313459316,44.9,77.79,98.67,1.42
"CH",2022,NA,NA,53908.9845120752,0.316656529903412,44.6,NA,NA,NA
"CL",2017,NA,NA,14987.8112283764,0.46,NA,NA,NA,NA
"CL",2020,NA,NA,16273.6869943296,0.495882187,NA,NA,NA,NA
"CL",2022,NA,NA,19959.4865116938,0.448147548,NA,NA,NA,NA
"CR",2017,NA,NA,15058.6072144085,0.48028401,NA,NA,NA,NA
"CR",2018,NA,NA,14807.6722631929,0.47897549,NA,NA,NA,NA
"CR",2019,NA,NA,15157.3439030486,0.47836865,NA,NA,NA,NA
"CR",2020,NA,NA,12698.448697846,0.496726,NA,NA,NA,NA
"CR",2021,NA,NA,14720.9312930157,0.4873102,NA,NA,NA,NA
"CR",2022,NA,NA,15262.3468589433,0.47186723,NA,NA,NA,NA
"CY",2017,63.04,74.15,NA,NA,42.5,50.38,79.41,17.79
