"Variabila","Social","Daily"
"Utilizare zilnica internet","0.697*** (0.243)",""
"Venit mediu gospodarie","0.000592** (0.000273)","0.000335*** (0.000088)"
"Gini","2.388 (41.451)","-4.566 (27.778)"
"Educatie superioara","-0.743** (0.366)","0.183 (0.177)"
"Abilitati digitale","0.124* (0.071)","0.138*** (0.045)"
"Acces internet","0.462** (0.206)","0.064 (0.113)"
"Nefolosire internet","0.632* (0.337)","-1.060*** (0.113)"
"N","80","80"
"R² within","0.769","0.947"
"R² ajustat","0.594","0.910"
